feature,importance_score
Gelsemine,1.857674448414514
"3,3-Dimethylglutaric acid",1.8570821895428893
"N-[2,2']Bithiophenyl-5-ylmethyl-6-morpholin-4-yl-nicotinamide",1.8564681758458663
N-Desmethyltramadol,1.856057692147765
"2-[(3S)-1-(2-Thienylmethyl)-3-pyrrolidinyl]-1,3-benzoxazole",1.8548042607487296
"8,12-iso-iPF2α-VI",1.8538674047882184
Biocytin,1.8535691339724691
Jasmonic acid,1.852207397434654
4-(Diethylamino)salicylaldehyde,1.850572627696301
Mycophenolic acid,1.8504934050294635
LDGTS 18:1,1.8493921651371596
"Trichothec-9-ene-3-α,4-β,8-α,15-tetrol, 12,13-epoxy-",1.8491950440721534
11-dehydro Thromboxane B2,1.849177453041412
Biotin,1.8487138937460204
Sulfaquinoxaline,1.844486565683533
Feruloylcholine,1.8427660765380212
5-Hydroxymethyl-2-furancarboxylic acid,1.8426619080396953
RNK,1.8417999038899784
N-Methylphenylalanine,1.8400330246575658
α-Methyl-DL-histidine,1.8394697662934116
Orotic acid,1.8392054427877085
(2E)-6-hydroxy-2-methyl-6-(4-methylphenyl)hept-2-enoic acid,1.8385718552861066
"(3R)-8-hydroxy-3-(4-hydroxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one",1.8383628343648537
Aldosterone,1.8374542236329243
"2-cyano-3-(3,4-dimethoxyphenyl)acrylic acid",1.836583202948162
Maltol,1.836390065859411
3-(dimethylamino)-1-[4-(phenylsulfonyl)phenyl]prop-2-en-1-one,1.8361084452947105
10-Undecenoic acid,1.8357751925424566
Benzylsuccinic acid,1.835699719787268
19(R)-Hydroxy-prostaglandin E2,1.8349004105433082
Linoleoyl Ethanolamide,1.8346449864410823
1-{4-[3-(4-benzhydrylpiperazino)-2-hydroxypropoxy]phenyl}ethan-1-one,1.8342181520681928
"4-amino-2-(2,4-dimethoxyanilino)-5-pyrimidinecarbonitrile",1.83348368334935
"JWH 018 N-(4,5-epoxypentyl) analog",1.8334479693006815
2-Methoxyestradiol,1.833441316642613
N1-methyl-5-methoxy-2-({2-[(methylamino)carbonyl]phenyl}thio)benzamide,1.8327911462052984
"4-(3-Methyl-5-oxo-4,5-dihydro-1H-pyrazol-1-yl)benzoic acid",1.832200652644052
Diosgenin,1.8318604582917861
"4-(cyclohexylmethyl)-6-(2-thienyl)-2,3-dihydropyridazin-3-one hydrate",1.8298196028185225
ethyl 5-methoxy-2-methyl-1-phenyl-1H-indole-3-carboxylate,1.8295760702493589
1-Methyladenosine,1.8286059567746336
"1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)heptan-3-one",1.8276650521246685
CP-465394,1.8275800370095663
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",1.82658804750118
Sodium Dehydrocholate,1.8264883596916524
"3-amino-2,6-diphenyl-4,7-dihydro-2H-pyrazolo[3,4-d]pyrimidin-4-one",1.8257315696927345
L-Saccharopine,1.825459389851534
(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid,1.825269233149067
"6,7-Dimethoxy-2-oxo-2H-chromen-8-yl β-D-glucopyranoside",1.8239419435146667
"1-(3,4-dimethylphenyl)-3-piperidinopyrrolidine-2,5-dione",1.8233132354909576
Arachidonic acid methyl ester,1.8233003862319634
Cer-NS (d17:1/14:0),1.8221819040000744
"10b-methyl-1,5,6,10b-tetrahydroimidazo[2,1-a]isoquinolin-2(3H)-one",1.821518112521455
"Ergosta-5,7,9(11),22-Tetraen-3-beta-Ol",1.8207469695179814
Tryptophanol,1.8205290490761568
AB-PINACA N-(2-fluoropentyl) isomer,1.8197001660724346
Cer-ADS (d17:0/19:0),1.8192468896217828
ACar 11:0,1.819245815131202
N-(1-benzyl-4-piperidinyl)-4-(1H-pyrazol-1-yl)benzamide,1.8188032265464553
N1-phenyl-2-(2-phenylacetyl)hydrazine-1-carbothioamide,1.8187177672896082
Phosphocholine,1.8187124149385656
(+/-)17(18)-EpETE methyl ester,1.8168769398529128
N'3-(2-furylmethylidene)pyridine-3-carbohydrazide,1.816852728653234
Carvone,1.8165550610361287
Amoxicillin,1.8155936868618685
Prostaglandin F1α,1.8146022928240875
(S)-Equol,1.8144528212117754
Dihydrofolic acid,1.8136670784611422
AKB48 N-(5-Fluoropentyl) analog,1.8130133213751425
(2R)-2-(β-D-Glucopyranosyloxy)-2-phenylacetamide,1.812896596546456
N-(9-oxodecyl)acetamide,1.8115775797647613
"2-(2-hydroxyphenyl)-3,4-dihydroquinazolin-4-one",1.8111650990117374
5-(sec-butyl)-2-hydroxybenzaldehyde N-phenylhydrazone,1.810825227096598
RMH,1.8104742217657375
4-(pentyloxy)benzene-1-carbohydrazide,1.810387509339341
"(6E)-7-(2H-1,3-benzodioxol-5-yl)-1-(piperidin-1-yl)hept-6-en-1-one",1.8091938846855364
delta8-THC-d9,1.809077088360287
"3-(4-fluorophenoxy)-1-(1,4-thiazinan-4-yl)propan-1-one",1.8090486196223043
(+/-)19(20)-DiHDPA,1.8065854562508163
Maltotriose,1.8062867549773782
Quinolinic acid,1.8041248524981988
N'-[2-(3-methoxyphenyl)acetyl]-6-quinoxalinecarbohydrazide,1.8034976144066976
Solanine,1.801365058997504
TPH,1.8007976150604073
"3-(methylsulfanyl)-5H-[1,2,4]triazino[5,6-b]indole",1.800758868089896
19(R)-hydroxy Prostaglandin E2,1.8003678087233204
1-butyl-2-methyl-4-nitro-1H-imidazole,1.8001263953347888
"9-Aminoacridine, monohydrochloride, monohydrate",1.7974886421036704
Azilsartan,1.7960236765902393
"2-(1,3-benzodioxol-5-yl)-5-(3-methoxybenzyl)-1,3,4-oxadiazole",1.7958882814486614
7-alpha-carboxy-17-alpha-carboxyethylandrostan lactone phenyl ester,1.7956472205804015
"N1-(2,3-dihydro-1,4-benzodioxin-2-ylmethyl)-2,2-dimethylpropanamide",1.7955375777264668
Theophylline,1.7950530158290952
Astaxanthin,1.794925115686911
15(R)-Lipoxin A4,1.7946582861421092
Norbutorphanol,1.7943732269284922
Gly-Tyr-Ala,1.7941892960381889
Palmitoyl ethanolamide,1.7935578042041034
Lysopc 14:0,1.7934804894726069
Suberic acid,1.793371137125641
4-morpholinobenzoic acid,1.7927047298934258
SQH,1.7905742006341985
3-Nitro-L-Tyrosine,1.7900984134168958
4-Acetyl-3-hydroxy-5-methylphenyl β-D-glucopyranoside,1.790046759428553
2-[2-oxo-2-(2-pyridylamino)ethoxy]acetic acid,1.7875443213304973
MPH,1.7858877861405436
"methyl 2-(4,5-dimethoxy-2-nitrophenyl)acetate",1.7854092813574827
3-methyl-2-[(phenylsulfonyl)amino]butanoic acid,1.784342646403434
Cetirizine N-oxide,1.784185212671407
"N-isopropyl[1,3]thiazolo[5,4-b]pyridin-2-amine",1.7836463890889345
"1,2-di(3,4-dimethoxyphenyl)diaz-1-ene",1.783365429624268
N-lactoyl-phenylalanine,1.7827913760362613
"2-[(7-methyl-2,3-dihydro-1H-inden-4-yl)oxy]pyridin-3-amine",1.782135758989359
"(3β,5ξ,9ξ)-3,23-Dihydroxy-1-oxoolean-12-en-28-oic acid",1.7806628931058444
"2-hydroxy-3,6-diphenylcyclohexyl acetate",1.7801241779850907
"2-(tert-butyl)-6,7-dimethoxy-4H-3,1-benzoxazin-4-one",1.7793965123140107
3-(3-methylbut-2-en-1-yl)-3H-purin-6-amine,1.7789105525058004
"4-methoxy-9-(2-methylbut-3-en-2-yl)-7H-furo[3,2-g]chromen-7-one",1.778892772360302
tert-butyl N-{2-[2-(anilinocarbothioyl)hydrazino]-2-oxoethyl}carbamate,1.7768367079102134
4-Hydroxybenzaldehyde,1.7745967397684002
17beta-Trenbolone,1.7740489550643557
Retrorsine,1.7723926876533778
1-adamantyl(piperidino)methanone,1.772376372372961
Cortisol,1.772309802312074
N1-isopropyl-2-(phenylthio)benzamide,1.7715516133098255
4-[2-(2-methylphenyl)-2-oxoethyl]benzamide,1.7710682879226718
"4-(3,4-dimethoxyphenyl)-3-methyl-1H-pyrazol-5-amine",1.770600120806166
N-[3-(tert-butyl)phenyl]thiomorpholine-4-carbothioamide,1.7698132192185416
1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one,1.769760557597423
"5,6-Dihydroxyindole-2-Carboxylic Acid",1.7696521078896224
Undecanoic acid,1.7673764056788717
Taurodeoxycholic Acid,1.767359583328545
GPH,1.766079414998762
Thromboxane B3,1.7655456910196108
"2-[2-(1-adamantylmethylidene)hydrazono]-5-methyl-1,3-thiazolan-4-one",1.765199600616752
Gibberellin A7,1.7646296029037964
"2-(3,4-dimethoxyphenyl)-N-(4-morpholinophenyl)acetamide",1.7645841407799507
"7-(1-pyrrolidinyl)pyrimido[4,5-d]pyrimidin-4-amine",1.7645575534245455
8-Iso prostaglandin A2,1.7644134632811368
PMH,1.7640280280304466
Coenzyme Q2,1.7626032184392835
4-oxo-4-[(pyridin-4-ylmethyl)amino]but-2-enoic acid,1.7621420717905703
AMH,1.7613217788739928
ethyl 2-(tert-butyl)-3-chloro-5-cyano-6-morpholinoisonicotinate,1.7605534262528657
"(2E)-3-(3,4-dimethoxyphenyl)prop-2-enoic acid",1.7603829412680763
"2-methoxy-5-(1H-1,2,4-triazol-5-yl)-4-(trifluoromethyl)pyridine",1.7595930509845723
cis-Resveratrol,1.7587565594644279
Calcitriol,1.7584681935431026
APH,1.7582583912996679
"2,3,4,9-Tetrahydro-1H-β-carboline-3-carboxylic acid",1.7570152535849073
"N-[2-(1,5-dimethyl-4-nitro-1H-pyrazol-3-yl)vinyl]-N,N-dimethylamine",1.756467208320926
"2,3-dinor Prostaglandin E1",1.7560798627873866
"5-methoxy-8,8-dimethyl-2-phenyl-4H,8H-pyrano[2,3-h]chromen-4-one",1.7555586632640674
