feature,mi_score,data_type,is_target
"All-Trans-13,14-Dihydroretinol",0.13814747773058267,Metabolome,False
"4,5-Dicaffeoylquinic acid",0.13805998189308677,Metabolome,False
LPC 17:2,0.1380145273476321,Metabolome,False
N1-isopropyl-2-(phenylthio)benzamide,0.1377848681179732,Metabolome,False
d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella parvula,0.1377372490703539,Microbiome,False
L-Threonine,0.1377119965451017,Metabolome,False
Ouabain,0.13767513634647677,Metabolome,False
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus|s__Anaerococcus mediterraneensis,0.1366275172988578,Microbiome,False
EQH,0.136518551101656,Metabolome,False
"Ergosta-5,7,9(11),22-Tetraen-3-beta-Ol",0.1364478440309489,Metabolome,False
Resveratrol,0.13633404322906761,Metabolome,False
"N-{4-[(2R,3R)-3-(Hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}acetamide",0.13632960116270598,Metabolome,False
3-(2-naphthyl)-5-(trifluoromethyl)-1H-pyrazole,0.13619634552945037,Metabolome,False
EPH,0.13610110743421266,Metabolome,False
LPE 22:5,0.13525240058550558,Metabolome,False
Theophylline,0.13494118608621042,Metabolome,False
Cer-NDS (d15:0/16:2),0.13416459949770476,Metabolome,False
trans-Aconitic acid,0.13403040036350533,Metabolome,False
Solanine,0.13363984647295135,Metabolome,False
1-Methylguanosine,0.13363765628268087,Metabolome,False
DL-β-Leucine,0.13363213196523716,Metabolome,False
N'2-benzylidene-5-hex-1-ynylfuran-2-carbohydrazide,0.13360066343376875,Metabolome,False
LPE 14:0,0.13355348838659298,Metabolome,False
Noroxymorphone,0.13346546529857006,Metabolome,False
MGDG (2:0/16:0),0.13331611464921966,Metabolome,False
Cholecalciferol,0.13330795614106128,Metabolome,False
Uridine 5'-Diphospho-N-Acetylgalactosamine,0.13282382915693414,Metabolome,False
PG (2:0/18:1),0.13282085990396486,Metabolome,False
Ethylmalonic acid,0.13270283903594393,Metabolome,False
Tauro-alpha-Muricholic acid sodium salt,0.13251452734763225,Metabolome,False
Cannabidiolic acid,0.13250842440344868,Metabolome,False
"2-(3,4-dimethoxyphenyl)-N-(4-morpholinophenyl)acetamide",0.1324666862997912,Metabolome,False
TMK,0.13246618679929156,Metabolome,False
13-HPODE,0.13218216732719168,Metabolome,False
DL-Arginine,0.1320772979104028,Metabolome,False
LPE 22:1,0.1318474166805217,Metabolome,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter splanchnicus,0.1317360280691331,Microbiome,False
methyl 4-[({[3-(methylthio)anilino]carbonyl}amino)methyl]benzoate,0.13166459949770437,Metabolome,False
4-acetyl-4-(ethoxycarbonyl)heptanedioic acid,0.13164972548283016,Metabolome,False
(+/-)9(10)-EpOME,0.1316155374486423,Metabolome,False
"N'1-(3,4,5-trimethoxybenzylidene)-3-(4-hydroxyphenyl)propanohydrazide",0.13145059128369585,Metabolome,False
2-(2-chlorophenyl)-1H-indole,0.13138754322064794,Metabolome,False
FAHFA (6:0/24:4),0.1313233080921714,Metabolome,False
"1,7-Diphenylhept-4-en-3-one",0.13119173086307123,Metabolome,False
AICA ribonucleotide,0.13115738449048941,Metabolome,False
PC (18:0e/4:0),0.13109197973700404,Metabolome,False
"3-(methylsulfanyl)-5H-[1,2,4]triazino[5,6-b]indole",0.13107455065765583,Metabolome,False
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus viridans,0.1308074566405617,Microbiome,False
LLK,0.13051408334718828,Metabolome,False
Leucine-enkephalin,0.1301415114746165,Metabolome,False
Pentadecanoic acid,0.12983970217280705,Metabolome,False
9-Oxo-ODE,0.12982405115715623,Metabolome,False
5-amino-2-(dimethylamino)benzoic acid,0.129672536005641,Metabolome,False
LPC 20:4,0.12948278131588653,Metabolome,False
FAHFA (2:0/24:4),0.12941784625095099,Metabolome,False
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",0.12899793283103778,Metabolome,False
"13Z,16Z-Docosadienoic Acid",0.12883920267230775,Metabolome,False
2-(4-aminophenoxy)isophthalonitrile,0.128609043942149,Metabolome,False
"1-(3,4-dihydroxyphenyl)-7-(4-hydroxyphenyl)heptan-3-one",0.1284984878315929,Metabolome,False
ENH,0.12845081328391816,Metabolome,False
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(propan-2-yloxy)oxane-3,4,5-triol",0.12840588805091224,Metabolome,False
Dl-Lanthionine,0.12839922598233078,Metabolome,False
2-oxo-2H-chromene-3-carboxylic acid,0.1281472834803885,Metabolome,False
LPE 17:1,0.12791235174545657,Metabolome,False
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis,0.12778364711675194,Microbiome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia hominis,0.1276169804500853,Microbiome,False
LPI 16:1,0.12758501241811748,Metabolome,False
D-Glucose 6-phosphate,0.12751452734763213,Metabolome,False
"(5ξ,9ξ,16ξ)-17-Hydroxykauran-19-oic acid",0.1272406088856335,Metabolome,False
Stachyose,0.12712541645852138,Metabolome,False
PA (18:2/18:2),0.1270845129176179,Metabolome,False
Nicotinic acid,0.12699381766515816,Metabolome,False
"1,6-dihydroxy-3-methoxy-8-methyl-9H-xanthen-9-one",0.12624915383225876,Metabolome,False
Cannabigerolic acid,0.1261400684731735,Metabolome,False
delta-Tocopherol,0.12600686833997332,Metabolome,False
Prostaglandin F1α,0.12589667916554248,Metabolome,False
Mono(2-ethylhexyl) phthalate (MEHP),0.12552967886278377,Metabolome,False
1-(3-phenylpropanoyl)-4-piperidinecarboxylic acid,0.12534669517980035,Metabolome,False
DL-Norvaline,0.12514972548283,Metabolome,False
Thymidine 5'-diphosphate,0.12489547972858484,Metabolome,False
PG (4:0/15:0),0.12468119401429889,Metabolome,False
Carvone,0.12459178342488841,Metabolome,False
Triptolide,0.12437072670383165,Metabolome,False
6β-Hydromorphol,0.12393616126926599,Metabolome,False
Arachidonoyl serinol,0.12381589264899762,Metabolome,False
"1-(2,4-difluorobenzoyl)-4-piperidinecarboxylic acid",0.12340990974301502,Metabolome,False
5-hex-1-ynyl-2-furoic acid,0.12317156475466962,Metabolome,False
Guanidineacetic acid,0.1231415114746166,Metabolome,False
PG (3:0/18:1),0.12307008290318788,Metabolome,False
L-arginine,0.12301452734763219,Metabolome,False
D-Glucarate,0.12298999632310115,Metabolome,False
Methyl EudesMate,0.12293964144921699,Metabolome,False
Isoproterenol,0.12278862579820116,Metabolome,False
Spiculisporic Acid,0.12173874757185255,Metabolome,False
Glutaric Acid,0.12171943355253845,Metabolome,False
PC (14:1e/5:0),0.12164972548283037,Metabolome,False
PI (16:0/18:2),0.12140175123485619,Metabolome,False
Methyl beta-D-galactopyranoside,0.12119012952323449,Metabolome,False
Undecanedioic acid,0.12075190108500622,Metabolome,False
Phenylacetylglycine,0.12038854222164708,Metabolome,False
"15(R),19(R)-hydroxy Prostaglandin E1",0.11988706537032501,Metabolome,False
(+/-)5(6)-EET,0.11985579718890227,Metabolome,False
N1-piperidinocarbonyl-4-methylbenzene-1-sulfonamide,0.11975290008600514,Metabolome,False
PG (18:2/22:6),0.11917303550614022,Metabolome,False
RNH,0.11899793283103755,Metabolome,False
5-oxo-1-[4-(trifluoromethyl)benzyl]pyrrolidine-3-carboxylic acid,0.1188005191336241,Metabolome,False
Docosatrienoic acid,0.11850514783825283,Metabolome,False
Thromboxane B1,0.11848158806469322,Metabolome,False
FAHFA (5:0/24:0),0.11846596479906957,Metabolome,False
Vanillin,0.11838682171992687,Metabolome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella minuta,0.11826849560160091,Microbiome,False
5-Phenylvaleric Acid,0.11816437749748232,Metabolome,False
MAM2201 N-pentanoic acid metabolite,0.1176732575063626,Metabolome,False
HNK,0.11755998189308703,Metabolome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium sp. YL32,0.11749843233153712,Microbiome,False
FAHFA (4:0/22:0),0.11749237466371487,Metabolome,False
3-(2-morpholinophenyl)-2-(phenylsulfonyl)acrylonitrile,0.117435162268267,Metabolome,False
Fexofenadine,0.11739597922908418,Metabolome,False
"Thymidine 3,5-cyclic monophosphate",0.11739178897489388,Metabolome,False
N-Acetyl-DL-glutamic acid,0.1172194335525385,Metabolome,False
DL-Malic acid,0.11700758984069459,Metabolome,False
3-Methylhistidine,0.11673652756963282,Metabolome,False
Nitrosoheptamethyleneimine,0.1166884090215139,Metabolome,False
Isorhapontigenin,0.11660687943998416,Metabolome,False
C-8 Ceramide-1-phosphate,0.11649878492012511,Metabolome,False
FAHFA (2:0/22:0),0.11616031783165814,Metabolome,False
"6-methyl-7-nitro-2,3-dihydro-1,4-benzodioxine",0.11606963890274402,Metabolome,False
Phenylpropiolic acid,0.11592650425960915,Metabolome,False
IMH,0.11552174235484736,Metabolome,False
Fumaric acid,0.11551236284546818,Metabolome,False
Dutasteride,0.11518940802251287,Metabolome,False
PPH,0.11500908834219348,Metabolome,False
d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Intestinibaculum|s__Intestinibaculum porci,0.1148954797285846,Microbiome,False
"N1-(4H-1,2,4-triazol-4-yl)-4-nitrobenzamide",0.11483126616437134,Metabolome,False
"2-hydroxy-3,6-diphenylcyclohexyl acetate",0.11464006847317343,Metabolome,False
Cholest-4-en-3-one,0.11436229069539583,Metabolome,False
Reynoutrin,0.11430024163334651,Metabolome,False
LPC 22:1,0.11412541645852126,Metabolome,False
L-Hydroxylysine,0.11410210643521168,Metabolome,False
FAHFA (18:2/20:4),0.11410182893493359,Metabolome,False
Salvinorin A,0.11369684502995003,Metabolome,False
"(+/-)-epi CP 47, 497",0.1135138613469664,Metabolome,False
acetyl phosphate,0.11329308212618727,Metabolome,False
Inosine,0.11318818702129185,Metabolome,False
7-alpha-carboxy-17-alpha-carboxyethylandrostan lactone phenyl ester,0.11250969068103078,Metabolome,False
Ala-Ile,0.11250659083969583,Metabolome,False
trans-Anethole,0.11243516226826711,Metabolome,False
Hexanoic acid,0.11233920267230735,Metabolome,False
"5-(1-azepanyl)-2,4(1H,3H)-pyrimidinedione",0.11230867764178254,Metabolome,False
3-[(Z)-(5-nitro-1H-indol-3-yl)methylidene]-1H-indol-2-one,0.11208970217280712,Metabolome,False
FAHFA (3:0/16:0),0.11204677287987796,Metabolome,False
"N-[2,2']Bithiophenyl-5-ylmethyl-6-morpholin-4-yl-nicotinamide",0.11178423313204422,Metabolome,False
Pyrrole-2-carboxylic acid,0.11158487779182158,Metabolome,False
"2,3,4-Trihydroxybenzoic acid",0.11147462280772746,Metabolome,False
6α-Naltrexol,0.11140269473579978,Metabolome,False
TPP,0.11128746845880877,Metabolome,False
"2,4-dihydroxyheptadec-16-en-1-yl acetate",0.11120428203738708,Metabolome,False
"2-(1H-benzimidazol-2-yl)-3-(1,3-benzodioxol-5-yl)acrylonitrile",0.11113862547173037,Metabolome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium perfringens,0.11106314539625006,Microbiome,False
N1-(4-chlorophenyl)-3-(1H-pyrrol-1-ylmethyl)piperidine-1-carboxamide,0.11046596479906956,Metabolome,False
LDGTS 18:1,0.1103790733623331,Metabolome,False
"α,α-Trehalose",0.11025312208622706,Metabolome,False
FAHFA (15:0/22:0),0.11022881306191823,Metabolome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoanaerobaculum|s__Lachnoanaerobaculum umeaense,0.11013213196523686,Microbiome,False
d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus harei,0.11003205720339748,Microbiome,False
2-chloro-6-[(2-oxoazepan-3-yl)amino]benzonitrile,0.11002895736206209,Metabolome,False
Boldione,0.1098952577283625,Metabolome,False
"7-methylpyrimido[4,5-d]pyrimidin-4-amine",0.10980074113384619,Metabolome,False
cis-4-Hydroxy-D-proline,0.10976055909366411,Metabolome,False
ACar 20:6,0.10974252157562647,Metabolome,False
"4-benzyl-N-(3,5-dichlorophenyl)-1,4-diazepane-1-carboxamide",0.10973693772019755,Metabolome,False
tetranor-PGFM,0.10972584380894879,Metabolome,False
"4-methoxyphenyl 3,5-dimethyl-1-phenyl-1H-pyrazole-4-carboxylate",0.10912563845874335,Metabolome,False
VLK,0.10905831689142209,Metabolome,False
Ohmefentanyl,0.10870139603450113,Metabolome,False
"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one",0.10859489142799661,Metabolome,False
"7-(3,4-dihydroxyphenyl)-5-hydroxy-1-(4-hydroxyphenyl)heptan-3-one",0.10849071782382302,Metabolome,False
3-Methyladenine,0.1084798120629169,Metabolome,False
(9cis)-Retinal,0.10838682171992664,Metabolome,False
4-Acetamidobutanoic acid,0.10817902951213476,Metabolome,False
4-Ethoxybenzaldehyde,0.10807657640968138,Metabolome,False
FAHFA (2:0/26:0),0.10798255931566403,Metabolome,False
"5-(hydroxymethyl)-4-methoxy-2,5-dihydrofuran-2-one",0.10790576072725577,Metabolome,False
19(R)-hydroxy Prostaglandin E1,0.1078742232073282,Metabolome,False
Deoxycorticosterone 21-glucoside,0.10783248716559202,Metabolome,False
Palmitoleic Acid,0.10782432865743363,Metabolome,False
"(3beta,9xi)-3-(beta-D-Glucopyranosyloxy)-14-hydroxycard-20(22)-enolide",0.10769706703017201,Metabolome,False
