feature,data_type,is_target,univar_score,pvalue,fdr,rf_importance,gb_importance,mi_score,corr_score,univar_norm,rf_norm,gb_norm,mi_norm,corr_norm,final_score,target_bonus
"(2α,3β,19α)-2,3,19-Trihydroxyolean-12-en-28-oic acid",Metabolome,False,2.7435425076327107,0.0012231545089638467,0.06131304665567981,0.003371040213508561,6.1597929275612205e-06,0.10210376327510362,1.2489833215649897,0.39211068696127915,0.26058485934882386,7.749409159231864e-05,0.3288632395911556,0.46518182533631053,0.27864258821621257,
13-HPODE,Metabolome,False,2.4912758984693157,0.0012231545089638467,0.06131304665567981,0.004042779458304977,0.0,0.13218216732719168,0.7284286216832847,0.356056298847228,0.3125109906132662,0.0,0.42574195474340454,0.2713020662575848,0.2759361371447541,
"16,16-Dimethyl prostaglandin A1",Metabolome,False,3.0651376655712186,0.0004849145521830682,0.04640485320588271,0.0028816329750761603,2.3813201345943426e-06,0.10439290103792542,0.9535140395431453,0.43807363337883065,0.22275317882476728,2.995851366937894e-05,0.33623626127424167,0.355134767406419,0.27306529235435306,
3-Indoleacrylic acid,Metabolome,False,3.2400500395311784,0.0006036128747610752,0.04887716560244809,0.0013832054074040126,0.000432732669875761,0.16255800554126543,0.7269041404829716,0.46307241794891923,0.10692319394308285,0.005444050725195018,0.5235786675143322,0.2707342756912833,0.2723515617117636,
TPP,Metabolome,False,2.0836742727299056,0.0005218204192354766,0.04708311096987529,0.004631250961303921,6.5606067209288785e-06,0.11128746845880877,0.9840089630469208,0.29780115656318396,0.3580004401977813,8.253658265978955e-05,0.35844278633152327,0.366492552521758,0.2692726375368367,
"All-Trans-13,14-Dihydroretinol",Metabolome,False,2.604163911282696,0.0018364049707052812,0.06810911789128844,0.002516424599780718,0.003807735975281965,0.13814747773058267,0.7976029451378014,0.37219045247499316,0.19452219756028535,0.047903727267775864,0.4449554610971349,0.2970659315513633,0.266318342905831,
Cortodoxone,Metabolome,False,2.869423520663034,0.0013100506045556819,0.06156757131786872,0.0018034501503582225,3.396423822584296e-06,0.1598179482129729,0.821513738934322,0.41010182306540593,0.13940854276685988,4.2729160198878215e-05,0.5147532912427459,0.30597146816779186,0.2657013689465676,
FAHFA (2:0/24:4),Metabolome,False,2.704984551848028,0.0016060778960358792,0.06339992494601633,0.0020600298382518287,0.0,0.12941784625095099,1.2685394779691057,0.3865999160060754,0.1592424152948687,0.0,0.4168384280246759,0.47246548427358936,0.2655628912566001,
4-Methylvaleric Acid,Metabolome,False,2.846457660385845,0.0006972107602265204,0.052423609066555986,0.0017729179758287084,0.00021502872166275313,0.16830263225957642,0.6890008979912724,0.406819501863433,0.13704837442074977,0.002705197341448613,0.5420813797771066,0.25661727410765883,0.2638229180098389,
Corchorifatty acid F,Metabolome,False,1.9596716174064532,0.005094589949329419,0.09810192109745308,0.0040838350766939265,0.0,0.13816956675267167,0.8922543408884077,0.280078478650988,0.3156846319422815,0.0,0.44502660702878893,0.3323186913646219,0.2629305617716473,
"15(R),19(R)-hydroxy Prostaglandin E1",Metabolome,False,2.1393128116753086,0.0017176942137110498,0.06696886823332711,0.003645160370207507,8.37187395131906e-06,0.11988706537032501,1.1005415509996328,0.30575311454878085,0.281774628071199,0.00010532347019004851,0.3861409945932447,0.4098949271083797,0.26110129797629666,
Solanine,Metabolome,False,2.446261430843872,0.0016060778960358792,0.06339992494601633,0.002463393860260234,2.149919189608878e-07,0.13363984647295135,1.1822896126970883,0.34962275184749836,0.190422867109188,2.704734340178483e-06,0.43043695393620984,0.4403418609477192,0.261092812463618,
