,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
"6-[2-(2H-1,3-benzodioxol-5-yl)ethyl]-4-methoxy-2H-pyran-2-one",-0.004890592575341918,0.022569169573994814,-0.001167201758373751,0.005570751571327629,0.014299059216837797,0.005676347316841088,0.02670889152580376,-0.014605923797948351,0.02008164527670887,0.02395788340067165
S-Adenosylmethionine,-0.013150811059985943,0.04277079212892213,0.005961455185596821,-0.002326380434934053,-0.007603166869305448,-0.0016874436598173072,0.022562297964610796,0.0015299677336998302,-0.03668948441267133,-0.00811013596308893
Enrofloxacin,0.025141918637421032,0.018897685984144777,-0.0018124925010341165,0.023324299462722343,-0.025191656032669426,0.006522031005921631,-0.00868680753995415,0.004200952909569275,-0.009666774758640759,-0.03978160141394887
Phenethylamine,-0.040478483573091195,-0.007310971562308215,0.010620525388303225,0.018457543729950947,-0.0427567849286368,0.0015107234079395962,-0.025713408398370923,-0.0003730135976750366,0.030800222479405313,-0.036324692907203984
4-Methoxybenzaldehyde,0.0063754771971507,0.008679879053669813,-0.015999990975231703,-0.006436104257268548,-0.025031667023806027,-0.004865513163039566,0.01972559094798158,0.028891078117928494,-0.022928261205380968,-0.02420730871982127
4-Aminophenol,0.0002724532406039714,0.006820672010190986,0.009814567591585048,-0.013955034099896322,-0.005239926255789056,-0.0048844056957145976,0.0038511938711766345,0.004383594723778789,-0.010179541905348052,-0.023954627606060912
Vitexin,-0.0030956522681307584,0.02522992450288607,-0.015392814034808442,-0.0030565350793823882,0.03250205359929542,0.018672514052287887,0.018200629489348415,-0.014661489106435303,0.014232770464309092,0.0038754064309140467
4-Methyl-5-thiazoleethanol,0.018203742543727065,-0.010648699998936976,0.00473112214487416,0.02536912706764418,0.025788764723772083,-0.013484104033274942,-0.022888258933862506,0.0018180179201089523,-0.017985625354275354,0.019319232055731266
Esculetin,0.014474270990185693,0.004740909847887755,0.017007019722835498,-0.017351427190170438,0.01665869206430849,-0.012112564264591962,-0.006719823873363029,-0.019206021728367207,0.02614883143108929,0.009100707300634175
Testosterone,0.015588495323000287,0.0051911013405646295,-0.0037179035553864775,-0.024458552082253508,-0.02241421750270471,-0.00881733772210649,-0.02674220410586295,-0.011289772515865586,-0.01901277842653449,-0.017435031945180222
"N6,N6,N6-Trimethyl-L-lysine",-0.021369963411251792,0.04660062226096336,-0.015377692926983733,0.00843455777361881,-0.021080008587812175,0.023777057595128184,0.002241904454190238,-0.02443135847524491,-0.0012657684982544713,0.016153863875892297
5-Methoxyindoleacetic acid,0.009288429485831137,0.013319759386781465,0.011208163512784213,0.01576872543279158,0.015392268910333153,-0.03101776908086244,-0.006520446567395138,-0.01750815051427875,0.033201777340928974,0.016918355526240752
Cytidine 5'-monophosphate (hydrate),-0.0008766260987775698,0.015656400895186245,-0.00962391215106964,-0.0026359334578990885,-0.006425011912089441,0.00517141348586955,-0.03250017307604208,-0.03312993943113678,-0.018489319091948446,0.015480429170109179
"3',4'-Dihydroxyphenylacetone",0.022299963216197607,0.011444429513149,0.03143548605376203,-0.004940085414051582,0.013672049372727018,-0.016888390877903305,0.024588281056353276,-0.02357722159644958,0.02301184212645734,0.010885399220587455
Nicotinuric acid,-0.005473238328459229,0.01808092848079358,0.00015055573107380848,0.023965447558415395,-0.0189103251912522,-0.03510098369693352,-0.040483156119214755,-0.001023206343628831,0.00946444118811682,-0.014878516467926501
DL-Lysine,-0.001910772490020224,0.00980413469658389,-0.014467114502990104,0.02670424618517963,0.025636407506755932,-0.022134946468373193,0.01233744956122338,0.03377064389766105,-0.012098009465342818,0.011706583208114739
3-Methoxybenzaldehyde,0.006314093522605505,0.007706728045029921,-0.007606210421088162,0.0055030066189909865,-0.007724838120265791,0.006152457284969969,0.021058538439567568,0.03487954514892135,-0.018192044395091905,-0.03560302406352381
Betaine,0.004194240857846907,0.02945081974825385,-0.006280639290183493,0.02306046671163426,-0.011665555229042324,0.0010250364522745175,-0.012347465545064768,-0.03209044387514181,0.019574580152360244,0.000913392284033394
Levothyroxine,0.0010762764310230054,-0.007541906897691104,0.015448727088043911,0.006554573624641462,0.00454827753482651,-0.013603421820416286,-0.011415075023817457,-0.02942209559192087,0.0237381123505367,-0.006838833629499218
Choline,-0.0077092105953351356,0.03201836878881256,-0.006159499346256533,-0.017464045612145457,0.01661887189086439,-0.019040628860376194,0.006757865032238912,-0.014666411410198463,0.008426711973542075,0.035320795983302136
Icariin,0.017471979758674237,0.007092780747121006,-0.02837789325007819,0.0067200723325502995,-0.006704805344942862,0.01616976806244847,0.019250656788723466,0.0008364150350418793,0.015028208677432786,0.003462253232904218
Paraxanthine,0.016889537531192295,0.004526870306753159,0.020424552922856262,0.004902873646157029,-0.014373925417499961,0.0060581244167091704,0.010166025289365117,-0.03680535824947835,-0.004628369866904143,-0.025246705477602653
Galangin,0.003703083762163211,0.028451961667168957,0.01979175387215309,-0.02493751659608593,0.052148621502323744,0.03114914202867967,-0.022258556751723328,0.008164245560018296,-0.02281750787249141,-0.03280437546264141
